Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
29,20,3,47.0,16321,20,20,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,0.0,30,30,1,30,30,40,40,1277,10,0,207,1484,1,30,10,4,1600,0,0,1600,1,0,1,0,2,1,30,6,6,2,40,1,62,20,1,319,30,30,20,288,258,0,0,0,0,0,12,2006,8,4,207500
30,30,4,60.0,6324,20,20,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,0.0,30,30,0,30,30,10,10,0,10,0,520,520,1,20,0,4,520,0,0,520,0,0,1,0,1,1,20,4,6,0,0,5,99,10,1,240,20,30,20,49,0,87,0,0,0,0,5,2008,8,4,68500
31,70,0,50.0,8500,20,30,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,0.0,30,20,0,30,30,10,10,0,10,0,649,649,1,30,0,4,649,668,0,1317,0,0,1,0,3,1,30,6,6,0,0,5,99,10,1,250,30,20,0,0,54,172,0,0,0,0,7,2008,8,4,40000
32,20,3,0.0,8544,20,20,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,0.0,30,30,1,30,30,10,10,0,10,0,1228,1228,1,40,10,4,1228,0,0,1228,0,0,1,1,3,1,40,6,6,0,0,1,53,10,1,271,30,30,20,0,65,0,0,0,0,0,6,2008,8,4,149350
33,20,3,85.0,11049,20,30,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,3,0.0,40,30,2,50,30,30,10,0,10,0,1234,1234,1,50,10,4,1234,0,0,1234,0,0,2,0,3,1,40,7,6,0,0,1,12,20,2,484,30,30,20,0,30,0,0,0,0,0,1,2008,8,4,179900
34,20,3,70.0,10552,20,20,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,0.0,30,30,1,30,30,10,30,1018,10,0,380,1398,1,40,10,4,1700,0,0,1700,0,1,1,1,4,1,40,6,6,1,40,1,60,20,2,447,30,30,20,0,38,0,0,0,0,0,4,2010,8,4,165500
35,120,3,60.0,7313,20,30,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,50,30,2,50,30,10,60,1153,10,0,408,1561,1,50,10,4,1561,0,0,1561,1,0,2,0,2,1,50,6,6,1,40,1,14,30,2,556,30,30,20,203,47,0,0,0,0,0,8,2007,8,4,277500
36,60,3,108.0,13418,20,30,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,4,132.0,40,30,2,50,30,30,10,0,10,0,1117,1117,1,50,10,4,1132,1320,0,2452,0,0,3,1,4,1,40,9,6,1,40,3,15,30,3,691,30,30,20,113,32,0,0,0,0,0,9,2006,8,4,309000
37,20,3,112.0,10859,20,30,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,30,30,2,40,30,10,10,0,10,0,1097,1097,1,50,10,4,1097,0,0,1097,0,0,1,1,3,1,30,6,6,0,0,1,24,10,2,672,30,30,20,392,64,0,0,0,0,0,6,2009,8,4,145000
38,20,3,74.0,8532,20,30,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,30,30,1,30,30,10,30,1213,10,0,84,1297,1,40,10,4,1297,0,0,1297,0,1,1,0,3,1,30,5,6,1,30,1,65,30,2,498,30,30,20,0,0,0,0,0,0,0,10,2009,8,4,153000
39,20,3,68.0,7922,20,30,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,0.0,30,40,1,30,30,10,60,731,10,0,326,1057,1,30,10,4,1057,0,0,1057,1,0,1,0,3,1,40,5,6,0,0,5,66,10,1,246,30,30,20,0,52,0,0,0,0,0,1,2010,8,0,109000
40,90,3,65.0,6040,20,30,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,0.0,30,30,2,0,0,0,0,0,0,0,0,0,1,30,0,2,1152,0,0,1152,0,0,2,0,2,2,20,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,8,1,82000
41,20,3,84.0,8658,20,30,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,30,30,1,30,30,10,30,643,10,0,445,1088,1,50,10,4,1324,0,0,1324,0,0,2,0,3,1,30,6,6,1,30,1,54,20,2,440,30,30,20,0,138,0,0,0,0,0,12,2006,8,0,160000
42,20,3,115.0,16905,20,30,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,0.0,30,40,1,30,30,40,40,967,10,0,383,1350,1,40,10,4,1328,0,0,1328,0,1,1,1,2,1,30,5,6,2,40,1,60,20,1,308,30,30,10,0,104,0,0,0,0,0,7,2007,8,4,170000
43,85,3,0.0,9180,20,20,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,0.0,30,30,1,40,30,30,50,747,20,93,0,840,1,40,10,4,884,0,0,884,1,0,1,0,2,1,40,5,6,0,0,1,36,20,2,504,30,40,20,240,0,0,0,0,0,0,12,2007,8,4,144000
44,20,3,0.0,9200,20,20,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,0.0,30,30,1,40,30,30,20,280,40,491,167,938,1,30,10,4,938,0,0,938,1,0,1,0,3,1,30,5,6,0,0,5,42,10,1,308,30,30,20,145,0,0,0,0,0,0,7,2008,8,4,130250
45,20,3,70.0,7945,20,30,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,0.0,30,30,1,30,30,10,50,179,40,506,465,1150,1,50,10,0,1150,0,0,1150,1,0,1,0,3,1,30,6,6,0,0,1,60,20,1,300,30,30,20,0,0,0,0,0,0,0,5,2006,8,4,141000
46,120,3,61.0,7658,20,30,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,50,30,2,50,30,10,60,456,10,0,1296,1752,1,50,10,4,1752,0,0,1752,1,0,2,0,2,1,50,6,6,1,40,1,14,20,2,576,30,30,20,196,82,0,0,0,0,0,2,2010,8,4,319900
47,50,3,48.0,12822,20,20,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,3,0.0,40,30,2,50,30,10,60,1351,10,0,83,1434,1,50,10,4,1518,631,0,2149,1,0,1,1,1,1,40,6,6,1,50,1,16,20,2,670,30,30,20,168,43,0,0,198,0,0,8,2009,8,0,239686
48,20,1,84.0,11096,20,30,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,3,0.0,40,30,2,40,30,30,60,24,10,0,1632,1656,1,50,10,4,1656,0,0,1656,0,0,2,0,3,1,40,7,6,0,0,1,13,20,3,826,30,30,20,0,146,0,0,0,0,0,7,2007,8,4,249700
49,190,4,33.0,4456,20,30,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,0.0,30,30,0,30,30,10,10,0,10,0,736,736,1,40,10,4,736,716,0,1452,0,0,2,0,2,3,30,8,6,0,0,6,0,0,0,0,0,0,0,0,0,102,0,0,0,0,6,2009,6,5,113000
50,20,3,66.0,7742,20,30,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,0.0,30,30,1,30,30,10,40,763,10,0,192,955,1,50,10,4,955,0,0,955,1,0,1,0,3,1,30,6,6,0,0,1,53,10,1,386,30,30,20,0,0,0,0,0,0,0,1,2007,8,4,127000
51,60,3,0.0,13869,20,10,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,0.0,30,30,2,40,30,30,60,182,10,0,612,794,1,40,10,4,794,676,0,1470,0,1,2,0,3,1,30,6,6,0,0,1,22,30,2,388,30,30,20,0,75,0,0,0,0,0,7,2007,8,4,177000
52,50,4,52.0,6240,20,30,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,0.0,30,30,2,30,30,10,10,0,10,0,816,816,1,30,10,4,816,0,360,1176,0,0,1,0,3,1,30,6,6,1,40,5,34,10,2,528,30,30,20,112,0,0,0,0,0,400,9,2006,8,4,114500
53,90,4,110.0,8472,10,10,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,3,0.0,20,30,1,40,30,40,20,104,60,712,0,816,1,30,0,4,816,0,0,816,1,0,1,0,2,1,30,5,6,0,0,4,56,10,2,516,30,30,20,106,0,0,0,0,0,0,5,2010,8,4,110000
54,20,3,68.0,50271,20,20,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,3,0.0,40,30,1,50,30,40,60,1810,10,0,32,1842,1,40,10,4,1842,0,0,1842,2,0,0,1,0,1,40,5,6,1,40,1,38,30,3,894,30,30,20,857,72,0,0,0,0,0,11,2006,8,4,385000
55,80,3,60.0,7134,20,30,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,0.0,30,30,1,30,30,10,50,384,10,0,0,384,1,30,10,4,1360,0,0,1360,0,0,1,0,3,1,30,6,2,1,30,5,57,10,2,572,30,30,20,0,50,0,0,0,0,0,2,2007,8,4,130000
56,20,3,100.0,10175,20,20,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,30,30,1,30,30,10,40,490,10,0,935,1425,1,40,10,4,1425,0,0,1425,0,0,2,0,3,1,30,7,6,1,40,1,55,20,2,576,30,30,20,0,0,0,407,0,0,0,7,2008,8,4,180500
57,160,1,24.0,2645,20,30,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,40,30,2,40,30,10,60,649,10,0,321,970,1,50,10,4,983,756,0,1739,1,0,2,1,3,1,40,7,6,0,0,1,20,30,2,480,30,30,20,115,0,0,0,0,0,0,8,2009,8,0,172500
58,60,3,89.0,11645,20,20,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,3,0.0,40,30,2,40,30,10,10,0,10,0,860,860,1,50,10,4,860,860,0,1720,0,0,2,1,3,1,40,7,6,0,0,1,15,20,2,565,30,30,20,0,70,0,0,0,0,0,8,2006,8,4,196500
59,60,3,66.0,13682,20,10,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,50,30,2,50,30,40,10,0,10,0,1410,1410,1,50,10,4,1426,1519,0,2945,0,0,3,1,3,1,40,10,6,1,40,3,13,30,3,641,30,30,20,192,0,37,0,0,0,0,10,2006,6,5,438780
60,20,3,60.0,7200,20,30,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,3,0.0,30,30,1,30,30,30,50,632,10,0,148,780,1,50,10,4,780,0,0,780,0,0,1,0,2,1,30,4,6,0,0,5,46,10,1,352,30,30,20,196,0,0,0,0,0,0,1,2008,8,4,124900
61,20,3,63.0,13072,20,30,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,3,0.0,30,30,2,40,30,10,50,941,10,0,217,1158,1,50,10,4,1158,0,0,1158,1,0,1,1,3,1,40,5,6,0,0,5,13,10,2,576,30,30,20,0,50,0,0,0,0,0,5,2006,6,5,158000
62,75,4,60.0,7200,20,30,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,3,0.0,30,30,0,30,20,10,10,0,10,0,530,530,1,30,0,4,581,530,0,1111,0,0,1,0,3,1,20,6,6,0,0,5,84,10,1,288,30,30,0,0,0,144,0,0,0,0,3,2007,8,4,101000
63,120,3,44.0,6442,20,20,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,4,178.0,40,30,2,40,40,20,60,24,10,0,1346,1370,1,50,10,4,1370,0,0,1370,0,0,2,0,2,1,40,6,6,1,40,1,13,20,2,484,30,30,20,120,49,0,0,0,0,0,10,2007,8,4,202500
64,70,4,50.0,10300,20,20,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,3,0.0,30,30,0,30,30,10,10,0,10,0,576,576,1,40,10,4,902,808,0,1710,0,0,2,0,3,1,30,9,6,0,0,5,29,10,2,480,30,30,20,12,11,64,0,0,0,0,4,2010,8,4,140000
65,60,3,0.0,9375,20,30,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573.0,30,30,2,40,30,10,60,739,10,0,318,1057,1,50,10,4,1057,977,0,2034,1,0,2,1,3,1,40,8,6,0,0,1,21,20,2,645,30,30,20,576,36,0,0,0,0,0,2,2009,8,4,219500
66,60,3,76.0,9591,20,30,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,40,30,2,50,30,30,10,0,10,0,1143,1143,1,50,10,4,1143,1330,0,2473,0,0,2,1,4,1,40,9,6,1,40,3,15,20,3,852,30,30,20,192,151,0,0,0,0,0,10,2007,8,4,317000
67,20,3,0.0,19900,20,30,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,287.0,30,30,1,40,30,40,60,912,10,0,1035,1947,1,30,10,4,2207,0,0,2207,1,0,2,0,3,1,30,7,2,1,40,1,49,20,2,576,30,30,20,301,0,0,0,0,0,0,7,2010,8,4,180000
68,20,3,72.0,10665,20,20,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167.0,40,30,2,40,30,30,60,1013,10,0,440,1453,1,50,10,4,1479,0,0,1479,1,0,2,0,3,1,40,7,6,0,0,1,16,20,2,558,30,30,20,144,29,0,0,0,0,0,6,2007,8,4,226000
69,30,4,47.0,4608,20,30,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,3,0.0,30,40,1,30,30,10,10,0,10,0,747,747,1,30,10,4,747,0,0,747,0,0,1,0,2,1,30,4,6,0,0,1,74,10,1,220,30,30,20,0,0,0,0,0,0,0,6,2010,8,4,80000
70,50,3,81.0,15593,20,30,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,3,0.0,40,30,1,30,30,10,40,603,10,0,701,1304,2,30,10,4,1304,983,0,2287,0,0,2,0,3,1,30,7,6,1,30,1,66,30,2,667,30,30,20,0,21,114,0,0,0,0,7,2006,8,4,225000
71,20,3,95.0,13651,20,20,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,1115.0,30,40,1,40,30,40,50,1880,10,0,343,2223,1,50,10,4,2223,0,0,2223,1,0,2,0,3,1,30,8,6,2,40,1,46,30,2,516,30,30,20,300,0,0,0,0,0,0,2,2007,8,4,244000
72,20,3,69.0,7599,20,30,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,3,0.0,30,30,1,30,30,10,50,565,10,0,280,845,1,30,10,4,845,0,0,845,1,0,1,0,2,1,30,4,6,0,0,5,32,10,2,360,30,30,20,0,0,0,0,0,0,0,6,2007,8,4,129500
73,60,3,74.0,10141,20,20,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,1,40.0,30,30,2,40,30,10,10,0,10,0,832,832,1,40,10,4,885,833,0,1718,0,0,2,1,3,1,30,7,6,1,30,1,21,30,2,427,30,30,20,0,94,0,0,291,0,0,12,2009,8,4,185000
74,20,3,85.0,10200,20,30,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,1,104.0,30,30,1,30,30,10,50,320,40,362,404,1086,1,40,10,4,1086,0,0,1086,1,0,1,0,3,1,30,6,6,0,0,1,30,10,2,490,30,30,20,0,0,0,0,0,0,0,5,2010,8,4,144900
75,50,4,60.0,5790,20,30,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,3,0.0,40,40,1,20,30,10,10,0,10,0,840,840,1,40,0,4,840,765,0,1605,0,0,2,0,3,2,30,8,6,0,0,5,104,10,1,379,30,30,20,0,0,202,0,0,0,0,5,2010,8,4,107400
76,180,4,21.0,1596,20,30,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,3,0.0,30,30,1,40,30,40,60,462,10,0,0,462,1,30,10,4,526,462,0,988,1,0,1,0,2,1,30,5,6,0,0,3,46,10,1,297,30,30,20,120,101,0,0,0,0,0,11,2009,8,4,91000
77,20,3,0.0,8475,20,20,3,0,4,0,12,2,2,0,2,4,7,1956,1956,1,1,12,13,3,0.0,30,30,1,30,30,10,50,228,10,0,724,952,1,50,10,0,952,0,0,952,0,0,1,0,2,1,30,4,6,0,0,5,63,10,1,283,30,30,20,0,0,0,0,0,0,0,4,2008,8,4,135750
78,50,4,50.0,8635,20,30,3,0,4,0,3,2,2,0,0,5,5,1948,2001,1,1,13,14,3,0.0,30,30,1,30,30,10,40,336,60,41,295,672,1,30,10,4,1072,213,0,1285,1,0,1,0,2,1,30,6,2,0,0,5,71,10,1,240,30,30,20,0,0,0,0,0,0,0,1,2008,8,4,127000
